[0;0;0;0;4.963032e-01;0;0;0;9.922694e-01;0;0;0;7.373894e-01;0;0;0;0;0;1.594092e-01;-7.100904e-01;2.441103e-01;0;0;0;0]	9.180107e-02	1.089312e+01
[0;0;0;0;4.963032e-01;0;0;0;9.922694e-01;0;0;0;7.373894e-01;0;0;0;0;0;1.594092e-01;-7.100904e-01;2.441103e-01;0;0;0;0]	9.180107e-02	1.089312e+01
[0;7.825293e-02;3.330558e-01;0;-6.577579e-01;0;3.383506e-01;9.372987e-01;0;0;-2.474556e-01;0;1;-5.476246e-01;0;0;-4.694382e-01;9.653268e-01;-3.122460e-01;-7.844620e-01;7.593074e-01;-4.785440e-01;-9.549748e-01;0;1]	9.056965e-02	1.104123e+01
[0;7.825293e-02;3.330558e-01;0;-6.577579e-01;0;3.383506e-01;0;0;0;-2.474556e-01;0;1;-5.476246e-01;0;1;-4.694382e-01;9.653268e-01;-3.122460e-01;-7.844620e-01;7.593074e-01;-4.785440e-01;-9.549748e-01;0;1]	9.056965e-02	1.104123e+01
[0;7.825293e-02;3.330558e-01;0;-6.577579e-01;0;3.383506e-01;0;0;0;-2.474556e-01;0;1;-5.476246e-01;0;1;-4.694382e-01;9.653268e-01;0;-7.844620e-01;7.593074e-01;-4.785440e-01;-9.549748e-01;0;1]	9.056965e-02	1.104123e+01
[1;7.825293e-02;3.330558e-01;0;-6.577579e-01;0;3.383506e-01;0;0;0;-2.474556e-01;0;1;0;0;1;-4.694382e-01;9.653268e-01;0;-7.844620e-01;7.593074e-01;-4.785440e-01;-9.549748e-01;0;1]	9.235356e-02	1.082795e+01
[1;7.825293e-02;3.330558e-01;0;-6.577579e-01;0;3.383506e-01;0;0;0;-2.474556e-01;0;1;0;0;1;-4.694382e-01;9.653268e-01;1;-7.844620e-01;7.593074e-01;-4.785440e-01;-9.549748e-01;0;1]	9.293112e-02	1.076066e+01
[1;7.825293e-02;3.330558e-01;0;0;0;3.383506e-01;0;0;0;-2.474556e-01;0;1;0;0;1;-4.694382e-01;9.653268e-01;1;-7.844620e-01;7.593074e-01;-4.785440e-01;-9.549748e-01;0;1]	9.331288e-02	1.071663e+01
[1;7.825293e-02;3.330558e-01;0;0;0;3.383506e-01;0;0;0;-2.474556e-01;0;1;0;0;0;-4.694382e-01;9.653268e-01;1;-7.844620e-01;7.593074e-01;-4.785440e-01;-9.549748e-01;0;1]	9.273307e-02	1.078364e+01
[1;7.825293e-02;3.330558e-01;0;0;0;3.383506e-01;1;0;0;-2.474556e-01;0;1;0;0;0;-4.694382e-01;9.653268e-01;1;-7.844620e-01;7.593074e-01;0;-9.549748e-01;0;1]	9.359153e-02	1.068473e+01
