83625	83625	83625	84100	84100	82825	6993140625	6993140625	7072810000	7072810000	6859980625	
83625	83625	84100	84100	82825	82825	6993140625	7072810000	7072810000	6859980625	6859980625	
83625	84100	84100	82825	82825	82825	7072810000	7072810000	6859980625	6859980625	6859980625	
84100	84100	82825	82825	82825	82600	7072810000	6859980625	6859980625	6859980625	6822760000	
84100	82825	82825	82825	82600	83350	6859980625	6859980625	6859980625	6822760000	6947222500	
82825	82825	82825	82600	83350	80650	6859980625	6859980625	6822760000	6947222500	6504422500	
82825	82825	82600	83350	80650	81150	6859980625	6822760000	6947222500	6504422500	6585322500	
82825	82600	83350	80650	81150	82800	6822760000	6947222500	6504422500	6585322500	6855840000	
82600	83350	80650	81150	82800	82450	6947222500	6504422500	6585322500	6855840000	6798002500	
83350	80650	81150	82800	82450	80975	6504422500	6585322500	6855840000	6798002500	6556950625	
80650	81150	82800	82450	80975	81050	6585322500	6855840000	6798002500	6556950625	6569102500	
81150	82800	82450	80975	81050	82800	6855840000	6798002500	6556950625	6569102500	6855840000	
82800	82450	80975	81050	82800	83825	6798002500	6556950625	6569102500	6855840000	7026630625	
82450	80975	81050	82800	83825	81525	6556950625	6569102500	6855840000	7026630625	6646325625	
80975	81050	82800	83825	81525	80825	6569102500	6855840000	7026630625	6646325625	6532680625	
81050	82800	83825	81525	80825	79975	6855840000	7026630625	6646325625	6532680625	6396000625	
82800	83825	81525	80825	79975	81050	7026630625	6646325625	6532680625	6396000625	6569102500	
83825	81525	80825	79975	81050	82000	6646325625	6532680625	6396000625	6569102500	6724000000	
81525	80825	79975	81050	82000	83525	6532680625	6396000625	6569102500	6724000000	6976425625	
80825	79975	81050	82000	83525	82400	6396000625	6569102500	6724000000	6976425625	6789760000	
79975	81050	82000	83525	82400	80450	6569102500	6724000000	6976425625	6789760000	6472202500	
81050	82000	83525	82400	80450	79525	6724000000	6976425625	6789760000	6472202500	6324225625	
82000	83525	82400	80450	79525	80500	6976425625	6789760000	6472202500	6324225625	6480250000	
83525	82400	80450	79525	80500	80200	6789760000	6472202500	6324225625	6480250000	6432040000	
82400	80450	79525	80500	80200	79375	6472202500	6324225625	6480250000	6432040000	6300390625	
80450	79525	80500	80200	79375	78200	6324225625	6480250000	6432040000	6300390625	6115240000	
79525	80500	80200	79375	78200	78200	6480250000	6432040000	6300390625	6115240000	6115240000	
80500	80200	79375	78200	78200	78550	6432040000	6300390625	6115240000	6115240000	6170102500	
80200	79375	78200	78200	78550	77050	6300390625	6115240000	6115240000	6170102500	5936702500	
79375	78200	78200	78550	77050	77050	6115240000	6115240000	6170102500	5936702500	5936702500	
